Time, V , mA , tC , %rh , kPa , PM25 
00:00,12.21,132.9,-10.38,59.29,93.33,1.0
00:30,12.19,128.8,-10.5,60.44,93.29,1.0
01:00,12.17,145.0,-10.56,60.13,93.25,1.0
01:30,12.18,121.5,-10.62,60.07,93.28,3.0
02:00,12.16,135.8,-10.69,60.38,93.3,2.0
02:30,12.13,132.9,-10.69,59.4,93.32,2.0
03:00,12.12,139.2,-10.69,59.6,93.25,2.0
03:30,12.13,102.8,-10.75,60.08,93.22,1.0
04:00,12.09,149.7,-10.75,59.48,93.19,2.0
04:30,12.08,122.6,-10.81,59.92,93.18,6.0
05:00,12.08,127.3,-10.81,60.33,93.15,4.0
05:30,12.06,131.3,-10.88,60.4,93.19,11.0
06:00,12.03,128.1,-11.0,59.37,93.23,9.0
06:30,12.02,136.7,-11.12,59.05,93.22,3.0
07:00,12.0,123.1,-11.31,59.98,93.21,6.0
07:30,11.98,146.8,-11.38,58.36,93.22,6.0
08:00,11.99,112.0,-11.5,57.77,93.2,52.0
08:30,11.99,127.0,-11.19,58.02,93.24,8.0
09:00,12.05,116.8,-10.56,57.08,93.25,8.0
09:30,12.0,118.7,-10.12,55.22,93.3,4.0
10:00,12.12,146.1,-9.56,52.17,93.29,5.0
10:30,12.18,119.7,-9.31,52.68,93.27,8.0
11:00,12.03,138.6,-9.12,52.43,93.26,5.0
11:30,12.07,145.6,-9.0,51.3,93.23,2.0
12:00,12.21,138.9,-8.56,51.35,93.2,6.0
12:30,12.48,110.6,-8.19,51.37,93.17,3.0
13:00,12.62,121.0,-7.81,52.8,93.17,2.0
13:30,12.85,134.1,-7.5,54.12,93.15,3.0
14:00,12.71,124.2,-7.88,55.62,93.14,3.0
14:30,12.42,122.1,-8.31,55.08,93.14,2.0
15:00,12.16,108.9,-8.81,53.85,93.14,2.0
15:30,11.99,127.3,-9.12,54.66,93.11,28.0
16:00,11.97,112.5,-9.62,55.55,93.1,7.0
