 V , mA , tC , %rh , kPa , PM25 
13.83,137.8,-7.69,61.36,93.41,3.0
14.35,114.7,-7.69,53.76,93.39,1.0
13.2,111.2,-7.38,46.75,93.36,2.0
12.55,119.9,-8.44,49.41,93.39,0.0
12.54,126.1,-8.56,49.16,93.38,2.0
12.42,122.0,-10.0,52.91,93.43,4.0
