 V , mA , tC , %rh , kPa , PM25 
12.13,121.1,0.5,69.62,93.23,29.0
12.12,145.8,0.5,69.91,93.23,36.0
12.12,121.4,0.44,69.46,93.23,44.0
12.09,150.6,0.25,70.28,93.14,41.0
