12.16,121.2,-3.62,65.0,94.27,28.0
12.15,130.2,-3.69,66.28,94.26,20.0
12.15,113.6,-3.69,65.82,94.26,19.0
12.14,133.4,-3.75,65.82,94.26,20.0
12.15,117.4,-3.81,65.81,94.26,27.0
12.13,137.3,-3.81,65.17,94.23,26.0
12.13,148.2,-3.81,65.41,94.23,28.0
12.11,116.2,-4.06,65.34,94.19,12.0
12.11,117.7,-4.12,65.73,94.17,16.0
12.08,139.1,-4.12,65.91,94.15,16.0
12.35,138.2,0.56,94.4,93.56,15.0
12.16,137.6,0.56,92.77,93.55,11.0
12.1,120.9,0.88,73.36,93.49,8.0
12.09,130.8,0.94,71.82,93.46,9.0
12.1,122.1,1.19,68.8,93.38,9.0
12.24,115.2,1.38,67.69,93.33,25.0
12.23,117.1,1.5,69.19,93.31,29.0
12.16,132.0,1.38,67.82,93.31,22.0
